Product_ID,Product_Name,Product_Model,Product_Line,Product_Subline,Hardware/Software,Deployment_Environment,Description_And_Application,Connectivity,Region Support,Notes
P151,RAK5811 WisBlock 0-5V Interface Module,RAK5811,Wisblock,N/A,Hardware,Both,"The RAK5811 WisBlock Interface Module is a crucial component for building production-ready IoT solutions within the WisBlock modular system.  It requires integration with a WisBlock Core and Base module. Its primary function is to provide a 0-5V analog input interface, enabling the connection of various sensors to the WisBlock ecosystem.  The module features two input channels with high-precision signal amplification and conversion, ensuring accurate data acquisition across a wide temperature range.  A 12V power supply is integrated to power external sensors, simplifying system design. The RAK5811's easy-to-use fast crimping terminal simplifies field installation.  This module is ideal for applications requiring precise analog data acquisition in various industries, including environmental monitoring (water level monitoring, as shown in example applications), industrial automation, and smart agriculture.  The modular design allows for flexible customization and scalability, making it suitable for a wide range of IoT projects.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK5811 features a 2 kV ESD protection level and utilizes the STMicroelectronics LM2902 chipset.  Its compact size (35 mm x 25 mm) makes it suitable for space-constrained applications. Secure mounting is crucial for proper functionality; use the provided screws.  The module supports low-power consumption mode, allowing for energy savings during idle periods.  It is compatible with multiple WisBlock Core modules."
P152,RAK14000 WisBlock E-Ink Display Module,RAK14000,Wisblock,N/A,Hardware,Both,"The RAK14000 WisBlock E-Ink Display Module is a power-efficient display designed for integration into production-ready IoT solutions.  It's a modular component requiring a WisBlock Core and Base module for operation. The module features an Active Matrix Electrophoretic Display (AM EPD) with a 2.13-inch active area, available in white-black (212x104 pixels) and white-black-red (250x122 pixels) versions.  Its low power consumption makes it ideal for battery-powered applications.  The RAK14000 also incorporates a three-button module for user interaction.  This combination is suitable for various applications where a low-power, easily readable display and simple user input are needed, such as in remote monitoring systems, asset tracking, or any application requiring a clear, long-lasting display in low-power environments.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The module requires a WisBlock Base for power and a WisBlock Core for control.  Two versions are available: one with a white-black display and another with a white-black-red display.  The E-Ink display and three-button module connect via a flexible PCB (FPC) connector. The slot connection on the RAK14000 must be unlocked before connecting the FPC.
P153,RAK14001 WisBlock RGB LED Module,RAK14001,Wisblock,N/A,Hardware,Both,"The RAK14001 WisBlock RGB LED Module is a compact and versatile component designed to add vibrant, controllable lighting to WisBlock-based IoT projects.  Its primary function is to drive RGB LEDs with precise current control via an I2C interface.  The module's suitability extends to various applications where visual feedback or indication is needed, such as in smart home projects, industrial automation systems, or any application requiring customizable RGB lighting within a WisBlock system.  Its small size and ease of integration make it ideal for space-constrained designs. The module's ability to support gradual dimming adds a layer of sophistication to its functionality.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK14001 uses the NCP5623B chipset, a highly efficient DC/DC converter, to power the RGB LEDs.  It requires a WisBlock Base for power and a WisBlock Core module for control. Secure mounting with screws is crucial for proper operation. The module supports a 2.7V - 4.2V input voltage range and can drive up to 20mA per LED segment."
P154,RAK14003 WisBlock LED Bar Graph Module,RAK14003,Wisblock,N/A,Hardware,Both,"The RAK14003 WisBlock LED Bar Graph Module is a versatile display component designed for various IoT applications.  It features ten individually controllable LEDs (five green, three yellow, and two red) allowing for the creation of custom visual feedback displays.  This module is ideal for providing clear, at-a-glance status indicators in a wide range of projects, from simple visual alerts to more complex graphical representations of data. Its compact size and ease of integration with the WisBlock system make it suitable for applications requiring space-saving and modular designs.  Common use cases include visual representations of sensor readings, system status indicators, and progress bars in industrial control systems, smart home devices, and other IoT projects.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The module requires a WisBlock Base for power and a WisBlock Core for control. Secure mounting with screws is crucial for proper operation. The module uses the MCP23017 I/O expander and KEM-102510A-RYG LEDs.  Dimensions are 25 x 45 mm.
P155,RAK14012 WisBlock LED Matrix,RAK14012,Wisblock,N/A,Hardware,Both,"The RAK14012 WisBlock LED Matrix is a driver module designed to control WS2812B LEDs.  It features a built-in boost circuit to generate the necessary 5V voltage output for the LEDs, although an external power supply is recommended for optimal performance. This module is part of the WisBlock system, making it easily integrable with other WisBlock components for various IoT applications.  It's suitable for projects requiring visual displays, indicators, or dynamic lighting effects in diverse environments, from indoor installations to outdoor projects where appropriate protection is provided. Common applications include creating custom dashboards, signage, or ambient lighting within larger IoT systems.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK14012 requires a WisBlock Base for power and a WisBlock Core module for control. Secure mounting with screws is crucial for proper operation. The module is compact, measuring 25mm x 15mm.  It includes the WS2812B LED matrix."
P156,RAK14014 WisBlock TFT LCD Display Module,RAK14014,Wisblock,N/A,Hardware,Both,"The RAK14014 WisBlock TFT LCD Display Module is a 2.4-inch touchscreen display designed for use with the WisBlock system.  Its 240 x 320 pixel IPS TFT-LCD provides a colorful, high-resolution interface for various IoT applications.  The module connects to a WisBlock Core via SPI, making it easy to integrate into existing WisBlock projects. Its compact size and wide operating temperature range make it suitable for a variety of indoor and outdoor applications, from simple data visualization to more complex user interfaces in industrial control systems, smart home devices, or portable monitoring systems. The display's versatility allows for the creation of custom interfaces tailored to specific needs, enhancing user interaction and data presentation.",SPI,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK14014 requires a WisBlock Base for power and a WisBlock Core for control. Secure mounting with screws is recommended for optimal performance.  The module operates within a wide supply voltage range (1.65V to 3.3V) and temperature range (-30°C to 85°C).
P157,RAK1921 WisBlock OLED Display,RAK1921,Wisblock,N/A,Hardware,Both,"The RAK1921 WisBlock OLED Display is a module designed to extend the functionality of the WisBlock system by providing a visual interface.  Its primary function is to display data from other WisBlock modules, facilitating easy visualization of sensor readings and other relevant information within IoT applications.  The RAK1921 is ideal for projects requiring a compact and low-power display solution, making it suitable for a wide range of applications across various industries.  It simplifies the development process with a ready-to-use software library and tutorial, enabling rapid prototyping and deployment of user interfaces for diverse IoT projects, from smart home automation to industrial monitoring and control.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK1921 requires a WisBlock Base for power and a WisBlock Core module to interact with sensors.  It connects to the WisBlock Base via a separate 2.54 mm header that needs to be soldered.  The module should be secured with screws for proper operation.  The display features a 0.96-inch OLED screen with 128x64 pixel resolution and uses the SSD1306 driver IC.
P158,RAK12002 WisBlock RTC Module,RAK12002,Wisblock,N/A,Hardware,Both,"The RAK12002 WisBlock RTC Module is a real-time clock module designed to provide precise timekeeping capabilities to WisBlock-based IoT projects.  It utilizes the Micro Crystal RV-3028-C7 RTC chip and communicates via the I2C interface.  Its compact size and low power consumption make it ideal for a wide range of applications where accurate time synchronization is crucial, including data logging, event scheduling, and timestamping sensor readings in various IoT deployments across diverse industries. The module's small form factor allows for seamless integration into space-constrained designs. Its super capacitor backup power ensures timekeeping even during power outages.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK12002 requires a WisBlock Base for power and a WisBlock Core module for functionality. Secure mounting with screws is essential for proper operation. The module features automatic leap-year correction and extremely low current consumption (40nA).  It has a small size of 10mm x 10mm.
P159,RAK18001 WisBlock Buzzer Module,RAK18001,Wisblock,N/A,Hardware,Both,"The RAK18001 WisBlock Buzzer Module is a compact, extra module designed to provide audible alerts and notifications in various IoT applications.  It utilizes a MLT-5020 buzzer to produce a high-pitched sound, controllable via PWM signals from a WisBlock Core. This allows for customization of sound loudness and pitch, even enabling the playback of simple melodies.  Its small size and ease of integration make it ideal for a wide range of applications requiring sound-based feedback, such as alarm systems, notifications in smart homes, or indicators in industrial settings. The module's versatility allows for integration into various projects requiring simple audible signals.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The module operates with a 3.3V input voltage and has a 75dB sound output at 10cm.  It requires a WisBlock Base for power and connection, and a WisBlock Core for control. Secure mounting is crucial for proper operation; use the provided screws."
P160,RAK19005 WisBlock Sensor Extension Cable,RAK19005,Wisblock,N/A,Hardware,Both,"The RAK19005 WisBlock Sensor Extension Cable is a 120mm cable designed to physically separate WisBlock sensor modules from the main WisBlock base board. This separation helps to minimize interference from other modules on sensitive environmental sensors.  The cable allows for more flexible enclosure design, enabling direct exposure of sensors to the environment without compromising performance. This is particularly useful in applications where accurate environmental data is crucial, such as in smart agriculture, environmental monitoring, and industrial automation. The cable's design ensures all signals from the 24-pin connectors are maintained, ensuring seamless integration with a wide range of WisBlock sensor modules.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK19005 requires a WisBlock Base and a WisBlock Core for operation.  It features a 24-pin connector compatible with many WisBlock modules. Its easy click-and-use design simplifies integration into existing WisBlock systems.
P161,RAK19008 WisBlock IO Extension Cable,RAK19008,Wisblock,N/A,Hardware,Both,"The RAK19008 WisBlock IO Extension Cable is a 120mm long flexible printed circuit (FPC) board designed to extend the reach of WisBlock IO modules from the WisBlock Base Board.  This separation is crucial for sensors measuring environmental data, as it minimizes interference from other WisBlock modules. The RAK19008 allows for the creation of custom enclosures that directly expose WisBlock IO slots to the environment without compromising functionality. This makes it ideal for applications requiring direct environmental sensing in various settings, such as weather stations, agricultural monitoring, or industrial process control.  The cable's design ensures all 40-pin IO slot signals remain accessible, providing flexibility in integrating various sensors and actuators.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK19008 is compatible with WisBlock Base Boards featuring a 40-pin WisConnector.  It utilizes a simple click-and-use mechanism for easy integration.  A WisBlock Core is required to control the connected modules.
P162,RAK5814 WisBlock Crypto Module,RAK5814,Wisblock,N/A,Hardware,Both,"The RAK5814 WisBlock Crypto Module is a secure element designed to provide hardware-based key storage, encryption, and decryption for various electronic products and IoT devices.  Based on the Microchip ATECC608A chip, it offers robust security features with very low power consumption, making it suitable for battery-powered applications. Its compact size and I2C interface allow for easy integration into a wide range of IoT projects across diverse industries, including those requiring secure data transmission and storage in applications such as access control, industrial automation, and secure data logging. The module's small footprint and low power consumption make it ideal for space-constrained and energy-efficient deployments.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK5814 requires a WisBlock Base board for power and a WisBlock Core module for functionality. Secure mounting with screws is crucial for proper operation.  The module supports up to 16 keys, certificates, or data."
P163,RAK15000 WisBlock EEPROM Module,RAK15000,Wisblock,N/A,Hardware,Both,"The RAK15000 WisBlock EEPROM module is a low-power serial EEPROM module designed for use in various IoT applications within the RAKwireless WisBlock ecosystem.  Its primary function is to provide non-volatile data storage for WisBlock-based projects.  The module's low power consumption makes it suitable for battery-powered applications, while its large memory capacity (2 Mbit) allows for storing significant amounts of data.  It's ideal for applications requiring persistent data storage even when the main system is powered down, such as sensor data logging, configuration settings, and other critical information.  Its compatibility with the WisBlock system simplifies integration into larger IoT projects, making it a versatile component for various industries and applications.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK15000 uses the Microchip AT24CM02 chipset and offers features such as built-in error detection and correction, high reliability, and a long data retention period (100 years).  It requires a WisBlock Base for power and a WisBlock Core module for access. Secure mounting with screws is recommended for proper operation. The module operates within a wide temperature range (-40°C to +85°C)."
P164,RAK15001 WisBlock Flash Module,RAK15001,Wisblock,N/A,Hardware,Both,"The RAK15001 WisBlock Flash Module is a non-volatile memory module designed for storing large amounts of data frequently accessed by IoT applications within the WisBlock ecosystem.  Its 16 Mbit (2 MB) capacity allows for storage of conversion tables, lookup tables, images, and even sound files.  This module is ideal for applications where large datasets need to be readily available, but it's not suitable for constantly changing data like sensor readings due to its limited write/erase cycles.  It finds applications in various IoT projects requiring persistent data storage, such as industrial automation, smart agriculture, and environmental monitoring, where pre-loaded data is essential for efficient operation.",SPI,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK15001 uses the GigaDevice GD25Q16CNIG chip and operates within a full voltage range of 2.7V to 3.6V. It features software/hardware write protection and boasts ultra-low standby current of less than 5 µA.  The module operates within a wide temperature range of -40°C to +85°C. Secure mounting with screws is crucial for proper functionality. Requires a WisBlock Base for power and a WisBlock Core module for operation.
P165,RAK15002 WisBlock Micro SD Card Module,RAK15002,Wisblock,N/A,Hardware,Both,"The RAK15002 WisBlock Micro SD Card Module is a small, add-on module designed to expand the storage capabilities of WisBlock Core boards.  Its primary function is to provide external, non-volatile storage for data logging and other applications within the WisBlock ecosystem.  This module is ideal for projects requiring persistent data storage, such as environmental monitoring, industrial automation, or any application where data needs to be stored locally and retrieved later. The module seamlessly integrates with various WisBlock Core modules, offering a simple and efficient way to add significant storage capacity to a wide range of IoT projects.",SPI,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK15002 uses a 4-line SPI interface for communication and features SD card insert detection.  It requires a WisBlock Base board for power and a WisBlock Core module for functionality. Secure mounting with screws is crucial for proper operation. The module's compact size (25x35mm) makes it suitable for space-constrained applications.
P166,RAK15003 WisBlock 32kByte FRAM Module,RAK15003,Wisblock,N/A,Hardware,Both,"The RAK15003 WisBlock 32kByte FRAM Module is a memory expansion module for the WisBlock system, providing non-volatile data storage.  It utilizes a Fujitsu MB85RC256VPNF-G-JNERE1 memory chip and communicates via an I2C interface. This module is ideal for applications requiring reliable data retention even when power is lost, such as data logging in various IoT deployments. Its compact size and ease of integration with the WisBlock system make it suitable for a wide range of applications across different industries, including industrial automation, environmental monitoring, and smart agriculture, where reliable data storage is crucial.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The module has a compact size of 10 x 10 mm and is designed to be mounted on the sensor slot of the WisBlock Base board.  It offers high reliability with a read/write endurance of 1,000,000,000,000 cycles per byte and data retention exceeding 10 years at 85°C.  Requires a WisBlock Base and WisBlock Core module for operation. Secure mounting with screws is recommended for proper functionality."
P167,RAK15004 WisBlock FRAM Module,RAK15004,Wisblock,N/A,Hardware,Both,"The RAK15004 WisBlock FRAM Module is a high-endurance non-volatile memory storage solution for IoT applications.  Based on the FUJITSU MB85RC512T 512 kbit FRAM chip, it offers exceptional write/read endurance (10,000,000,000,000 cycles per byte) and long data retention (up to 95 years under optimal conditions).  Its compact size and I2C interface with high-speed mode support make it ideal for integration into various WisBlock-based projects requiring reliable data logging and storage.  Suitable for applications needing persistent data storage in diverse environments, from industrial automation and environmental monitoring to smart agriculture and asset tracking, where data integrity and longevity are paramount.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",Requires a WisBlock Base board and a WisBlock Core module for operation.  The module should be secured with screws for proper functionality.  The module operates within a wide temperature range (-40°C to 85°C).
P168,RAK15005 WisBlock 128kByte FRAM Module,RAK15005,Wisblock,N/A,Hardware,Both,"The RAK15005 WisBlock 128kByte FRAM module extends the WisBlock system by providing 128KB of non-volatile FRAM memory.  This module is ideal for applications requiring high-speed, reliable data storage in harsh environments. Its small size and I2C interface make it easy to integrate into various IoT projects.  The high read/write endurance and data retention capabilities make it suitable for applications where data persistence is critical, such as data logging in industrial settings, asset tracking, or environmental monitoring. The module's compatibility with the WisBlock system allows for seamless integration with other WisBlock sensors and components, creating a flexible and scalable IoT solution.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK15005 module is designed for use with the WisBlock Base and requires a WisBlock Core module for operation.  It features a compact 10 x 10 mm size and operates within a temperature range of -40°C to +85°C.  Secure mounting with screws is recommended for proper functionality.  The module boasts exceptional data retention and read/write endurance.
P169,RAK15006 WisBlock 512kByte FRAM Module,RAK15006,Wisblock,N/A,Hardware,Both,"The RAK15006 WisBlock 512kByte FRAM module extends the WisBlock system by providing 512KB of non-volatile FRAM memory.  This module, based on Fujitsu's MB85RS4MT, offers high reliability and data retention, making it ideal for applications requiring persistent data storage even in harsh conditions.  Its I2C interface ensures seamless integration with other WisBlock components. The module's compact size and ease of mounting onto the WisBlock Base board make it suitable for various IoT projects across diverse industries, including industrial automation, environmental monitoring, and data logging applications where reliable, long-term data storage is crucial.  The RAK15006 is particularly useful in situations where frequent read/write cycles are expected and data loss is unacceptable.",I2C,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK15006 requires a WisBlock Base board for power and a WisBlock Core module for data access.  It features a compact 10 x 10 mm size and is designed for easy mounting using screws.  The module boasts impressive data retention capabilities, exceeding 200 years at +35°C.  It supports a wide operating temperature range from -40°C to +85°C."
P170,RAK15007 WisBlock 1MByte FRAM Module,RAK15007,Wisblock,N/A,Hardware,Both,"The RAK15007 WisBlock 1MByte FRAM module extends the WisBlock system by providing 1MB of non-volatile FRAM memory.  This module is ideal for applications requiring high-speed data logging and storage in harsh environments, thanks to its wide operating temperature range and exceptional data retention capabilities. Its SPI interface ensures seamless integration with various WisBlock Core modules and microcontrollers.  Common applications include data logging in industrial settings, environmental monitoring, and other IoT projects where reliable, long-term data storage is crucial. The small form factor and ease of integration make it suitable for space-constrained applications.",SPI,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK15007 module boasts impressive data retention (up to 160 years at 50°C) and high reliability (1,000,000,000,000,000 read/write cycles per byte).  It features a compact 10 x 10 mm size and requires a WisBlock Base for power and a WisBlock Core for operation. Secure mounting with screws is recommended for optimal performance."
P171,RAK19002 WisBlock Boost Module,RAK19002,Wisblock,N/A,Hardware,Both,"The RAK19002 WisBlock Boost Module is a step-up boost regulator designed for use within the RAKwireless WisBlock system.  Its primary function is to provide a 12V/50mA power supply for other WisBlock modules, expanding the power options available within the system.  This is particularly useful for sensors or other components that require a higher voltage than the standard WisBlock core voltage. The module is compact and easily integrated into various WisBlock projects, making it suitable for a wide range of applications where a regulated 12V power source is needed.  It's ideal for use in industrial IoT applications, smart agriculture, and other projects requiring a small, efficient boost converter.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The output voltage of the RAK19002 is controlled by a WisBlock Core IO pin, allowing for dynamic voltage regulation.  The module uses the Texas Instruments TPS61046 chipset and boasts up to 85% efficiency at 3.6V input and 12V output.  It features ±2% output voltage accuracy.  Secure mounting with screws is recommended for proper function.  The module measures 10 x 10 mm."
P172,RAK19004 WisBlock Green Power Module,RAK19004,Wisblock,N/A,Hardware,Both,"The RAK19004 WisBlock Green Power Module is a versatile power supply designed to harvest and convert various renewable energy sources, such as solar, wind, or hydroelectric power, into a stable 5V output for powering other WisBlock modules.  Its ability to accept a wide input voltage range (2V-36V) and deliver up to 1A output current makes it suitable for a variety of applications in diverse environments.  This module is ideal for off-grid or low-power IoT deployments where access to traditional power sources is limited or unreliable.  It simplifies the integration of renewable energy into IoT projects, enabling the creation of sustainable and environmentally friendly solutions for various industries, including agriculture, environmental monitoring, and remote sensing.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK19004 requires a minimum input voltage of 5.3V upon startup. Unlike other WisBlock modules, it doesn't utilize a WisConnector but features four mounting holes for flexible placement. Securely fastening the module with screws is crucial for proper operation.  The module uses a Texas Instruments TPS55165-Q1 DC-DC buck-boost converter."
P173,RAK19006 WisBlock Wireless Charge Module,RAK19006,Wisblock,N/A,Hardware,Both,"The RAK19006 WisBlock Wireless Charge Module is a highly efficient, Qi-compliant wireless charging solution designed for integration into battery-powered IoT devices within the WisBlock ecosystem.  It features a single-chip wireless power receiver and charger, supporting up to 5W applications.  This module seamlessly integrates with WisBlock Base boards (like the RAK5005-O) via an IO slot or pogo pins, providing a convenient and versatile charging method for various WisBlock projects. Its suitability extends to applications requiring both wireless and wired charging capabilities, offering flexibility in power delivery methods.  The module is ideal for portable and low-power IoT devices in various industries, enabling convenient and efficient charging without the need for direct physical connections.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK19006 incorporates over-voltage, over-current, and over-temperature protection for enhanced safety and reliability.  It is compatible with the WPC 1.2.4 standard and JEITA charging profiles. Secure mounting is crucial for proper operation; use the provided screws to fix the module to the base board."
P174,RAK19018 WisBlock PoE Module for RAK13800,RAK19018,Wisblock,N/A,Hardware,Both,"The RAK19018 WisBlock PoE Module is a power supply module designed to provide Power over Ethernet (PoE) capability to the RAK13800 Ethernet Interface module within the WisBlock system.  It enables powering the RAK13800 and connected WisBlock devices via a standard CAT5/CAT6 Ethernet cable, eliminating the need for a separate power supply. This simplifies deployment and reduces cabling complexity, making it suitable for various IoT applications where a clean and efficient power solution is required.  The module is particularly useful in scenarios where direct access to a power outlet is limited or impractical, such as in industrial settings, smart agriculture, or remote monitoring deployments.",Ethernet,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK19018 is based on the Silvertel Ag9905MT converter board and is compliant with the IEEE 802.3af PoE standard. It provides up to 9W of power with short-circuit and over-temperature protection.  It requires the RAK13800 Ethernet module for operation; it does not have an Ethernet connector itself. The module operates with an input voltage range of 36V to 57V and provides a regulated 5V output.
P175,RAK17000 WisBlock Motor Control Module,RAK17000,Wisblock,N/A,Hardware,Both,"The RAK17000 WisBlock Motor Control Module is a versatile module designed to drive DC and stepper motors within a WisBlock system.  Its primary function is to provide motor control capabilities for various IoT applications.  It's ideal for projects requiring precise motor control, such as robotics, automation systems, and smart home devices. The module's compatibility with the WisBlock ecosystem allows for seamless integration with other WisBlock sensors and modules, enabling the creation of complex and customized IoT solutions.  Applications range from industrial automation tasks to hobbyist robotics projects, offering a compact and efficient solution for motor control in diverse environments.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK17000 uses the DRV8833 motor driver IC from Texas Instruments. It can drive two DC motors or one stepper motor.  The module features a wide power supply voltage range (2.7V to 10.8V) and allows for external power supply or power from the WisBlock Base battery.  Output current is controllable. Power source selection is managed via a 2-pin jumper. Secure mounting is crucial for proper operation; use the provided screws.
P176,RAK17001 WisBlock H-Bridge Module,RAK17001,Wisblock,N/A,Hardware,Both,"The RAK17001 WisBlock H-Bridge Module is a DC motor driver module designed to extend the functionality of the WisBlock system.  It utilizes the STSPIN250 DC motor drive module from STMicroelectronics, enabling control of DC motors and functioning as a PWM controller.  Its compact size and ease of integration make it suitable for various applications requiring precise motor control within the WisBlock ecosystem.  This module is ideal for hobbyists, makers, and developers building small-scale robotic systems, automated machinery, or other projects requiring precise motor control in a compact form factor. The module's integration with the WisBlock system allows for seamless connection to other WisBlock sensors and modules, enabling complex and versatile IoT applications.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK17001 operates with an operating voltage ranging from 1.8V to 10V and provides a maximum output current of 2.6 Arms.  It includes a full protection set for robust operation. Secure mounting is crucial for proper functionality; use the provided screws to attach the module to a WisBlock Base board.  Requires a WisBlock Base board for power and a WisBlock Core module for control.
P177,RAK10700 WisBlock GNSS Tracker for LoRaWAN,RAK10700,Wisblock,N/A,Hardware,Both,"The RAK10700 WisBlock GNSS Tracker for LoRaWAN is a compact and versatile LPWAN tracking device designed for various IoT applications.  Its core functionality centers around precise location tracking using a built-in u-blox ZOE-M8Q GNSS module, coupled with robust LoRaWAN communication for long-range data transmission.  The device also incorporates environmental sensing capabilities (temperature, humidity, pressure, air quality) and a 3-axis accelerometer for motion detection. This combination makes it ideal for asset tracking in diverse sectors, including logistics, fleet management, and supply chain monitoring.  Its low power consumption and sleep mode functionality extend battery life, making it suitable for remote deployments where frequent battery changes are impractical.  The RAK10700 is also well-suited for smart agriculture applications, enabling precise livestock monitoring and location-based services. In addition, it can be used for smart vehicle management, providing real-time location data and insights into vehicle behavior.","LoRaWAN, BLE, GPS","RU864, IN865, EU868, RU864, US915, AU915, KR920, AS923","The RAK10700 utilizes WisBlock modular design, allowing for easy expansion and customization. It supports both ABP and OTAA LoRaWAN modes and features LoRa P2P communication.  Power is supplied via a Micro USB connection, which also facilitates configuration. The device integrates antennas for LoRa, BLE, and GPS, simplifying installation.  The device is designed for low power consumption and includes a sleep mode to extend battery life."
P178,RAK10702 WisBlock Indoor Comfort Node,RAK10702,Wisblock,N/A,Hardware,Indoor,"The RAK10702 WisBlock Indoor Comfort Node is an indoor air quality sensor kit designed for quick prototyping and IoT application development.  Its primary function is to monitor and report indoor environmental conditions, including CO2 levels, particulate matter (PM1.0, PM2.5, PM10), volatile organic compounds (VOCs), temperature, humidity, and ambient light.  It also incorporates a PIR sensor for occupancy detection. This makes it suitable for smart home applications, office environments, and other indoor spaces where real-time air quality monitoring is crucial.  The device's data can be used to improve indoor air quality, optimize energy consumption, and enhance overall comfort and well-being.  Potential applications include building automation, environmental monitoring in offices and homes, and smart agriculture (e.g., monitoring greenhouse conditions). The open-source firmware allows for customization and integration with various IoT platforms.","LoRaWAN, BLE","RU864, IN865, EU868, RU864, US915, AU915, KR920, AS923",The RAK10702 utilizes a Nordic nRF52840 MCU and a Semtech SX1262 LoRa transceiver for low-power operation.  It features an optional E-Ink display for sensor data visualization and a 3D-printed enclosure with flexible mounting options.  The device supports LoRaWAN 1.0.2 (ABP or OTAA) and LoRa P2P communication. Configuration is done via Micro USB. Optional accessories include a 3D-printed enclosure.
P179,WisBlock IoT Starter Kit,RAK4631/RAK11200/RAK19007/RAK12010/RAK1901/RAK12047/RAK1904/RAK18001/RAK14001/RAK1921/RAK12021/RAK5860/RAK13101,Wisblock,N/A,Hardware,Both,"The WisBlock IoT Starter Kit is an all-in-one solution designed for rapid prototyping and development of IoT applications.  It provides a comprehensive collection of modules and connectivity options to facilitate the creation of custom IoT solutions for diverse use cases. The kit's modularity allows users to mix and match components to suit specific needs.  Target applications include environmental monitoring (temperature, humidity, light, gas), asset tracking (using GPS and other sensors), and smart agriculture (monitoring environmental conditions and potentially integrating with actuators for irrigation or other control systems). The kit's ease of use, combined with its versatile hardware and software support, makes it ideal for both beginners and experienced developers exploring the world of IoT.","LoRaWAN, Wi-Fi, BLE, LTE-M, NB-IoT, GSM/GPRS","RU864, IN865, EU868, AU915, US915, KR920, AS923","The kit includes various sensors (temperature, humidity, light, gas, accelerometer, GPS), actuators (buzzer, RGB LED), and display (OLED). It supports Arduino IDE and features a USB-C interface for data, power, and battery charging.  Li-ion batteries with built-in solar charging are supported.  The kit's cellular connectivity options include both 5G LTE NB-IoT and GSM/GPRS modules, offering regional flexibility.  The number of included modules is specified in the product features."
P180,WisBlock Outdoor Location Tracker Kit,RAK4631/RAK19003/RAK19007/RAK1904/RAK1905/RAK12500/RAK1910/RAK5860/RAK13101,Wisblock,N/A,Hardware,Outdoor,"The WisBlock Outdoor Location Tracker Kit is a customizable IoT kit designed for tracking objects in outdoor environments.  It leverages precise GPS/GNSS modules and 9-DOF sensors/accelerometers to provide real-time location data and monitor object movement.  This allows for tracking a wide range of assets, including vehicles, equipment, and personnel.  The kit facilitates real-time location monitoring, data analysis, and the creation of custom alerts based on specific events. Its multiple connectivity options (LoRaWAN, BLE, LTE-M, and NB-IoT) ensure adaptability to various network infrastructures and deployment scenarios.  The kit's modular design and customizability make it suitable for diverse applications across various industries, such as logistics (fleet tracking), agriculture (livestock monitoring), and asset management.","LoRaWAN, BLE, LTE-M (optional), NB-IoT (optional)","RU864, IN865, EU868, AU915, US915, KR920, AS923","The kit includes multiple WisBlock modules for GPS/GNSS location tracking, acceleration, and 9-DOF sensing.  It supports Li-Ion battery with built-in solar charging, offering extended operational life. The kit is compatible with the Arduino IDE and features a USB-C interface for data, power, and battery charging.  Cellular connectivity options (LTE-M and NB-IoT) are available depending on the selected cellular module variant (RAK5860 or RAK13101)."
